0,1
neutral,Haluat kännätä ja rypeä itsesäälissä.
neutral,Haluat kännätä ja rypeä itsesäälissä.
joy,Ilo oli minun puolellani.
neutral,Haluat kännätä ja rypeä itsesäälissä.
joy,"Haluan sanoa, että olet tehnyt loistavaa työtä."
joy,Ilo oli minun puolellani.
neutral,"Turkkilaiset kollegani suuresta Turkin kansalliskokouksesta harmittelevat samoin tätä epäkohtaa , nimittäin että kukaan ei halua ilmeisesti puhua heidän kanssaan , ei kansallisista hallituksista tai parlamenteista eikä myöskään lähes kaikista eurooppalaisista instituutioista ."
neutral,Haluat kännätä ja rypeä itsesäälissä.
joy,Tuntuu mukavalta päästä taas hoitotyön pariin . :)
neutral,Haluat kännätä ja rypeä itsesäälissä.
joy,"Haluan sanoa, että olet tehnyt loistavaa työtä."
joy,"Haluan sanoa, että olet tehnyt loistavaa työtä."
neutral,Minun pitäisi käyttää sitä.
joy,"Hyvä kun muistutit, että Noin viikon uutiset ilmaantuu taas kuvioihin😊"
joy,Ilo oli minun puolellani.
neutral,"Turkkilaiset kollegani suuresta Turkin kansalliskokouksesta harmittelevat samoin tätä epäkohtaa , nimittäin että kukaan ei halua ilmeisesti puhua heidän kanssaan , ei kansallisista hallituksista tai parlamenteista eikä myöskään lähes kaikista eurooppalaisista instituutioista ."
joy,Itsetehdyt croissantit maistuvat ihanilta .
neutral,Musta ja Valkoinen haihtuvat keltaiseksi jauheeksi ja painuvat lattian alle .
neutral,"Jos sinusta tulee joskus sankari, lupaan olla kunnollinen ihminen."
neutral,Miksi te juotte kylmää kahvia?
neutral,* 19. elokuuta 2009 : Demokraattien tappouhkauksia USA:ssa
neutral,Musta ja Valkoinen haihtuvat keltaiseksi jauheeksi ja painuvat lattian alle .
joy,"Meille riittää, että pelastuit. Hyvä voittaa aina pahan."
neutral,Minun pitäisi käyttää sitä.
neutral,Musta ja Valkoinen haihtuvat keltaiseksi jauheeksi ja painuvat lattian alle .
neutral,Siinä se vika on!
neutral,Että siitäs saisin .
neutral,Että siitäs saisin .
neutral,Näillä minä ainakin saattaisin puuttua peliin ja olisihan se silloin kiva nähdä tuollainen valtakirja.
